id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12266573,Rental unit in Athina · ★4.46 · 2 bedrooms · 2 beds · 1.5 baths,66063274,Αλεξανδρος,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98404,23.7233,Entire home/apt,45,1,25,5/20/2023,0.28,1,363,1,22298
13105446,Condo in Athina · ★4.96 · 2 bedrooms · 3 beds · 1 bath,50066739,Gheorghos,,ΚΟΛΩΝΑΚΙ,37.97823,23.74495,Entire home/apt,123,3,116,9/1/2023,1.31,2,276,7,467449
13108233,Rental unit in Athina · 1 bedroom · 2 beds · 1 bath,72864300,Gogo,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95925,23.72534,Entire home/apt,60,2,0,,,1,0,0,
12321423,Rental unit in Athina · 1 bedroom · 2 beds · 1 bath,66472465,Irene,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.01035,23.72974,Entire home/apt,40,3,0,,,1,0,0,
13110148,Rental unit in Athina · ★4.99 · 1 bedroom · 1 bed · 1 bath,26789356,Miltos,,ΑΚΡΟΠΟΛΗ,37.97112,23.73003,Entire home/apt,184,3,196,9/5/2023,2.26,5,294,30,1149104
12333241,Rental unit in Athina · ★4.95 · 1 bedroom · 1 bed · 1 bath,66564316,Aris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97686,23.72573,Entire home/apt,46,2,524,9/6/2023,5.84,1,264,76,1924850
13118231,Condo in Αθήνα · ★4.74 · 1 bedroom · 1 bed · 1 bath,1491457,Eleni,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98809,23.73565,Entire home/apt,40,5,327,9/4/2023,4.12,1,68,34,339723
12339162,Rental unit in Athina · ★4.58 · 1 bedroom · 1 bed · 1 bath,55670751,Jj,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96391,23.72289,Entire home/apt,70,1,31,9/2/2023,0.34,16,343,15,612501
13121121,Condo in Athina · ★4.69 · 2 bedrooms · 3 beds · 2 baths,18760819,Kostas,,ΒΟΤΑΝΙΚΟΣ,37.97873,23.70794,Entire home/apt,167,1,273,8/2/2023,3.1,12,260,19,1060564
13123584,Rental unit in Athens · ★4.60 · 1 bedroom · 1 bed · 1 bath,18760819,Kostas,,ΓΚΑΖΙ,37.97862,23.71086,Entire home/apt,144,1,177,7/20/2023,2,12,298,12,1060564
12356737,Rental unit in Athina · ★4.93 · 2 bedrooms · 3 beds · 1.5 baths,66739429,Iordanis,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96293,23.73161,Entire home/apt,70,2,30,8/19/2023,0.33,1,337,6,254769
13126148,Townhouse in Athens · 2 bedrooms · 2 beds · 1.5 baths,11626047,Vicky,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00595,23.73486,Entire home/apt,80,4,0,,,1,364,0,
13127836,Rental unit in Athina · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,67349909,Lena-Greg,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96625,23.726,Entire home/apt,70,3,193,9/17/2023,2.19,1,6,33,3913
12381069,Rental unit in Athens · Studio · 2 beds · 1 bath,66917830,Gitsa,,ΓΚΥΖΗ,37.99511,23.74833,Entire home/apt,24,30,2,8/4/2023,0.02,1,13,1,300296
13134354,Rental unit in Athina · ★4.76 · 1 bedroom · 1 bed · 1 bath,26422857,Argiro,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99333,23.76274,Entire home/apt,41,2,425,9/3/2023,4.79,1,329,31,1121043
